transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('insert', (), ('nummod', 'amod', 'dobj', 'dep', 'prep', 'pobj', 'nsubj', 'appos', 'det', 'nsubj', 'punct', 'punct', 'ccomp', 'dobj', 'prep', 'det', 'dep', 'pobj', 'dobj', 'punct', 'nsubj', 'prep', 'pobj', 'cc', 'conj', 'advmod', 'compound', 'compound', 'compound', 'nsubj', 'prep'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('prep', 'det', 'amod', 'pobj', 'prep', 'det', 'pobj', 'aux', 'acl', 'det', 'dobj', 'punct'), ('pobj', 'punct', 'nsubj', 'ROOT', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('advmod',), ('dep', 'nsubj'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'attr', 'prep', 'pobj', 'amod'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('nmod', 'punct', 'pobj', 'cc', 'punct', 'conj', 'punct', 'nsubj', 'compound', 'nsubj', 'ROOT', 'prep', 'pobj', 'neg', 'dep'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('amod', 'compound', 'pobj'), ())",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('nsubj',), ())",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('nsubj', 'ccomp', 'dobj', 'prep', 'poss', 'case', 'pobj', 'cc', 'compound', 'conj', 'compound', 'dobj', 'advcl', 'dobj', 'prep', 'pobj', 'prep', 'pcomp', 'prt', 'compound', 'dobj', 'punct', 'amod'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('prep', 'amod', 'pobj', 'punct', 'aux', 'advcl', 'det', 'dobj', 'prep', 'compound', 'pobj', 'cc'), ('compound',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('compound', 'conj', 'prep'), ('punct',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pobj', 'punct'), ('dep',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('ROOT', 'dep', 'pobj', 'advmod', 'cc', 'conj', 'det', 'amod', 'amod', 'dep', 'appos', 'case', 'pcomp'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('amod', 'dobj'), ())",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('amod', 'dobj', 'advmod'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('amod',), ('ROOT', 'xcomp', 'amod', 'poss', 'case', 'compound', 'dobj', 'prep', 'dep', 'det', 'dobj'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('ROOT',), ())",5,1.0,0.2,0,5,63.39622641509435
"('insert', (), ('dep', 'punct'))",5,1.0,0.2,0,5,63.39622641509435
"('insert', (), ('dep', 'dobj'))",5,1.0,0.2,1,4,80.6077568972411
"('insert', (), ('dep', 'appos', 'appos', 'compound', 'ROOT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'ROOT', 'punct'))",2,1.0,0.5,0,2,77.59815242494227
"('insert', (), ('dep', 'appos'))",20,1.0,0.05,2,18,62.13273063488802
"('insert', (), ('dep', 'nmod', 'nmod', 'punct', 'ROOT'))",1,1.0,1.0,1,0,95.40937056318032
"('insert', (), ('dep', 'conj', 'ROOT'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'attr'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('pobj',), ('nmod', 'dep', 'pobj'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('ROOT',), ('nsubj', 'dep', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('ROOT',), ('nsubj', 'dep', 'appos'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('xcomp',), ('xcomp',))",5,1.0,0.2,3,2,93.26856349757115
"('replace', ('dobj',), ('dobj',))",22,1.0,0.045454545454545456,1,21,48.57831325301205
"('replace', ('dobj',), ('dobj', 'dep', 'conj', 'dobj', 'punct'))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('pcomp', 'dobj'), ('xcomp', 'dobj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pobj',), ('pobj', 'dep', 'npadvmod'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('dep', 'npadvmod', 'conj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('advcl',), ('ROOT',))",3,1.0,0.3333333333333333,1,2,87.38621586475944
"('replace', ('ROOT', 'dobj'), ('conj', 'dobj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('compound', 'compound', 'dobj'), ('compound', 'pobj', 'amod'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('npadvmod',), ('dobj',))",3,1.0,0.3333333333333333,1,2,87.38621586475944
"('replace', ('pcomp',), ('pcomp',))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('compound', 'compound', 'conj'), ('compound', 'compound', 'conj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('conj',), ('conj', 'dep', 'appos'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neg', 'ROOT'), ('compound', 'dobj'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pobj',), ('pobj', 'dep', 'punct'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('xcomp',), ('dep',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('advcl',), ('advcl',))",4,1.0,0.25,1,3,83.86023294509151
"('insert', (), ('dep', 'dep'))",2,1.0,0.5,1,1,91.22171945701358
