transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('Demojify', 0.0, 0)",4,1.0,0.0,0,4,68.4361549497848
"('RemoveNegativeEmoji', 1.0, 1)",12,1.0,0.0,0,12,45.471877979027646
"('Demojify', 1.0, 1)",6,1.0,0.0,0,6,60.76433121019108
"('AddNegation', 1.0, 1)",9,1.0,0.0,0,9,52.017448200654314
"('AddNegation', 0.0, 0)",8,1.0,0.0,0,8,54.63917525773196
"('InsertPositivePhrase', 0.0, 0.1)",15,1.0,0.0,5,10,85.53496712492527
"('AddNegation', 1.0, 0.9)",3,1.0,0.0,1,2,87.84530386740332
"('RemoveNeutralEmoji', 0.0, 0.1)",7,1.0,0.0,2,5,84.42477876106194
"('RemoveNeutralEmoji', 1.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 1.0, 0.7000000000000001)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 1.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 1.0, 1.0)",2,1.0,0.0,0,2,78.32512315270937
"('RandomInsertion', 0.0, 0.0)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 1.0, 0.5)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 0.0, 0.7000000000000001)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 0.0, 0.5)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 1.0, 0.30000000000000004)",1,1.0,0.0,0,1,84.42477876106194
"('RandomInsertion', 0.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('SentMix', 0.0, 0.1)",1,1.0,0.0,0,1,84.42477876106194
"('ChangeHypernym', 1.0, 0.5)",2,1.0,0.0,0,2,78.32512315270937
"('ChangeHypernym', 1.0, 0.30000000000000004)",2,1.0,0.0,0,2,78.32512315270937
"('ImportLinkText', 0.0, 0.0)",7,1.0,0.0,0,7,57.53920386007238
"('ImportLinkText', 1.0, 0.9)",5,1.0,0.0,0,5,64.37246963562752
"('RandomCharDel', 0.0, 0.0)",6,1.0,0.0,0,6,60.76433121019108
"('RandomCharDel', 1.0, 0.9)",4,1.0,0.0,0,4,68.4361549497848
"('AddNeutralEmoji', 1.0, 0.7000000000000001)",5,1.0,0.0,2,3,89.04791537025513
"('AddNeutralEmoji', 0.0, 0.30000000000000004)",5,1.0,0.0,2,3,89.04791537025513
"('HomoglyphSwap', 0.0, 0.0)",10,1.0,0.0,0,10,49.63579604578564
"('HomoglyphSwap', 1.0, 0.9)",10,1.0,0.0,0,10,49.63579604578564
"('RandomSwap', 0.0, 0.1)",4,1.0,0.0,0,4,68.4361549497848
"('RandomCharSwap', 1.0, 0.9)",7,1.0,0.0,0,7,57.53920386007238
"('RandomCharSwap', 0.0, 0.0)",3,1.0,0.0,0,3,73.04747320061256
"('ChangeHyponym', 0.0, 0)",4,1.0,0.0,0,4,68.4361549497848
"('ChangeHyponym', 1.0, 1)",6,1.0,0.0,0,6,60.76433121019108
"('RandomCharInsert', 1.0, 0.30000000000000004)",1,1.0,0.0,0,1,84.42477876106194
"('RandomCharInsert', 1.0, 0.7000000000000001)",1,1.0,0.0,0,1,84.42477876106194
"('RandomCharInsert', 0.0, 0.30000000000000004)",1,1.0,0.0,0,1,84.42477876106194
"('RandomCharInsert', 0.0, 0.5)",1,1.0,0.0,0,1,84.42477876106194
"('RandomCharInsert', 0.0, 0.0)",5,1.0,0.0,0,5,64.37246963562752
"('RandomCharInsert', 1.0, 0.5)",1,1.0,0.0,0,1,84.42477876106194
"('ImportLinkText', 0.0, 0.30000000000000004)",3,1.0,0.0,1,2,87.84530386740332
"('ImportLinkText', 1.0, 1)",8,1.0,0.0,0,8,54.63917525773196
"('ImportLinkText', 1.0, 0.7000000000000001)",3,1.0,0.0,1,2,87.84530386740332
"('ImportLinkText', 0.0, 0.1)",4,1.0,0.0,3,1,95.59118236472945
"('ChangeSynonym', 0.0, 0.1)",5,1.0,0.0,0,5,64.37246963562752
"('ExpandContractions', 0.0, 0.0)",3,1.0,0.0,0,3,73.04747320061256
