transform,total_freq,label_ratio,impact_ratio,fail_num,pass_num,sus_score
"('replace', ('exclude',), ('neutral', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral',), ('neutral', 'pos'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'exclude', 'exclude'), ('exclude',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'neutral', 'neutral', 'exclude', 'exclude'), ('neutral',))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neg', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'exclude', 'neutral', 'neutral', 'exclude', 'exclude', 'neutral', 'exclude', 'neg', 'exclude', 'neg', 'neutral'), ('neutral', 'neutral', 'exclude', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude',), ('neutral', 'neg'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('pos', 'pos', 'neutral'), ())",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('neutral',), ())",10,1.0,0.1,0,10,48.57831325301205
"('insert', (), ('neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'pos'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude', 'pos', 'pos', 'neutral', 'exclude', 'exclude', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'exclude'), ('neutral',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'neutral', 'exclude'), ('neutral',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral', 'neutral'), ('exclude',))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neutral',), ('exclude', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('neutral', 'pos'), ())",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'pos', 'pos'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('pos',), ('neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'exclude', 'neutral', 'exclude', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('delete', ('pos',), ())",4,1.0,0.25,0,4,67.51507032819826
"('insert', (), ('neutral', 'neutral'))",62,1.0,0.016129032258064516,3,59,40.925700365408034
"('replace', ('pos',), ('pos', 'neutral', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude',), ('neutral', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('neutral',), ('neg',))",7,1.0,0.14285714285714285,5,2,95.4093705631803
"('replace', ('pos',), ('exclude',))",2,1.0,0.5,1,1,91.22171945701358
"('replace', ('pos',), ('neg',))",7,1.0,0.14285714285714285,4,3,92.85187914517317
"('replace', ('neutral',), ('neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('neutral', 'exclude'), ('neutral', 'neutral'))",9,1.0,0.1111111111111111,0,9,50.960566228513656
"('replace', ('neutral', 'neutral'), ('exclude', 'neutral'))",3,1.0,0.3333333333333333,0,3,72.20630372492836
"('replace', ('neutral', 'neutral', 'neutral'), ('neutral', 'neutral', 'neutral'))",4,1.0,0.25,0,4,67.51507032819826
"('replace', ('exclude', 'neutral'), ('neutral', 'pos'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('neg',), ('neutral', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
"('replace', ('neg',), ('exclude',))",1,1.0,1.0,1,0,95.40937056318032
"('insert', (), ('neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral'))",4,1.0,0.25,0,4,67.51507032819826
"('insert', (), ('pos', 'pos'))",1,1.0,1.0,1,0,95.40937056318032
"('insert', (), ('neg', 'neg'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('exclude',))",6,1.0,0.16666666666666666,0,6,59.75103734439834
"('delete', ('exclude',), ())",12,1.0,0.08333333333333333,2,10,73.91835736983622
"('replace', ('exclude', 'pos'), ('pos', 'neg'))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('neutral',), ('exclude',))",12,1.0,0.08333333333333333,2,10,73.91835736983622
"('replace', ('neg',), ('NA',))",1,1.0,1.0,1,0,95.40937056318032
"('replace', ('exclude', 'exclude'), ('exclude', 'exclude'))",1,1.0,1.0,0,1,83.86023294509151
"('replace', ('exclude',), ('exclude',))",5,1.0,0.2,1,4,80.6077568972411
"('replace', ('neutral',), ('pos',))",9,1.0,0.1111111111111111,1,8,69.78193146417445
"('insert', (), ('neutral', 'neg', 'exclude', 'exclude', 'neg', 'neg', 'neutral'))",4,1.0,0.25,0,4,67.51507032819826
"('replace', ('neg',), ('neutral', 'neutral', 'exclude', 'exclude', 'exclude', 'pos', 'neutral'))",1,1.0,1.0,0,1,83.86023294509151
"('insert', (), ('neutral', 'exclude', 'exclude', 'exclude', 'exclude', 'neutral', 'neutral'))",2,1.0,0.5,0,2,77.59815242494227
